Applicant_ID,Current_position,Current_jd
5884,PCA / sign Language,Working with students with disabilities.
5890,Project Officer Business development and Marketing associate,"Policy and Promotion - Promotion  1) Online marketing communication: Involved in brainstorming on new marketing campaigns both online and guerilla marketing

2) Market Research:  Conduct Market Research on F and B industry and target market

3) Creation and maintence of Blog: Update regularly with creative ideas to increase traction

4) Client Liason: Follow up calls with Clients to receive promotional materials and feedback

5) Partnerships: Working directly with business development manager in procurement of partnership for conferences, media and events

6) Liaise with SPRING SINGAPORE and Incubators to generate funding"
5895,Lead pre-k Teacher Hospitality Associate,"•	Adapted classroom work for the purpose of providing students with instructional materials that address individualized learning plans within established lesson plans.
•	Advised parents and/or legal guardians of student progress for the purpose of communicating expectations; student's achievements; developing methods for improvement and/or reinforcing classroom goals in the home environment.
•	Facilitates preschool student’s learning (e.g. art, science, music, housekeeping, story time, movement activities, etc.) for the purpose of improving the student’s academic success and transition to elementary school.
 •	Provided support to patients and staff by serving wholesome attractive meals.
•	Maintained strict sanitation requirements, and performed routine tasks as assigned.
•	Coordinates and collaborates with hospital floor staff, including RNs, CNAs, and other clinical staff to ensure meals are provided to patients in a manner to best support their nutritional and medical needs.
•	Direct patient interaction and assistance with meal selection.
"
5897,Receptionist Bookkeeper Accounting Clerk Administrative Assistant Customer Service Representative Administrative Assistant Customer Service Representative,"•	Phones – Greet Client’s – Create Intake packets – Office/ Kitchen Supplies – UA  Pickups 
•	Minutes (Staff meetings) Make Copies (Daily Forms) Fax
•	Caloms – Discharges – Medical Verification – Oversee/Train  the Volunteers and Community Service Applicants – Foodbank/ organize and distribute food to the Community •	Accounts Payables – Filing – Time Cards
•	Owners Personals •	Accounts Payables – Deposits – Filing –   Banking – Vendor’s
•	CompuTime 101 – Time 
•	Physical restruction of department files Provide accounting and clerical support to accounts department, Verify and post details of business transactions and check verify and process Vendors invoices, Provide assistance in payroll, funds expenditure and budget preparation, Performed accounts receivable and payables, Issue checks for accounts payables, Process bills for payments, Open mail and match payments to invoices, Received past due accounts and bad checks personally. Handled customer inquiries – Orders – Complaints – Shipping – Billing questions
Download and Export orders – Pull, Pack and Ship orders
Reconcile batches Administrative Assistant to President & Accounting Department
•	Sales follow-up calls – Collections – Deposits – Cash Receipts Entry
•	Internet research – Schedule
Bookkeeper Assistant
•	Accounts Receivables – Collections – Deposits – Cash Receipts Entry
•	Accounts Payables – Workers Comp. Ins. Premium Schedule – Payroll data entry Inside Sales
•	Responsible for maintaining   on three regional territories
•	Acquire and maintain an in-depth knowledge of all relevant products, promotions
•	Up-sell orders by cross merchandising and advising salons of all promotions
•	Generate outbound calls to designed salons to solicit products and/ or tickets sales
•	Provide customer service when needed
•	Work industry tradeshows I.e.: cashier and host
Customer Service
•	Entered orders and open new accounts
•	Utilized UPS database to track delayed or missing parcels
•	Trouble shoots various problems and needs"
5911,Associate Trainer Busser Crew Member,"Cashier, Barista, Dining Room, and Dishes Busser Dressing, Cashing, Frying, Dining Room, and Dishes  
"
5914,Patient Services Coordinator,Patient Services Coordinator
5919,Front Desk Associate Corporate Trainer Airport Operation Liaisons Ground Operations Sales Associate,"Front Office associates are responsible for the guest registration process and communication of
hotel services and promotions. This role gives opportunity for casual conversation and has a
direct impact on creating the guest experience. Other duties include processing forms of payment
and responding to guest inquiries. The face of Hyatt as a Front Office Associate. Learning and executing the standard sales and marketing systems. Managing and developing
other sales & marketing associates within a team oriented environment. Branch and Market
Management from learning the entry level sales functions to managing the marketing needs of
clients. As a Airport Operations Crew JBU Liaison I helps support JetBlue University with local
training initiative, communication and feedback regarding on all training offered by JBU
College of Airports. Conducting on the Job
training for new hires, Delivers training locally at the Airport and ensures the results are
submitted to JetBlue University for accurate recordkeeping
● Responsible to checksin
and verifies Customer’s Personal Identification, tags, lifts, and
handles customer luggage; books, sells, and verifies flight reservations, boarding flights,
coordinating with flight crew, prepping flights, ensuring on time departure, seating
arrangements, solving customer issues. Worked in Bag Room and Ramp for all airlines in terminal one.
● Load and offload Customers bag inside container, Attending Carousel Baggage in
Custom arriving hall.
● Independently removed Jetway prior Arrival and Departure As a sales associate rep my responsibilities were to help and assist customers with
making purchase decisions. Receiving shipments, maintaining store appearance,
processing products for display and sales."
5921,Social Media Manager  Customer Service Representative  Executive Assistant,"Supported Sprint Nextel’s brand with use of social media platforms. Relied on divergent thinking for unconventional consumer predicaments, without compromising company policy.   Assisted and resolved Universal American Medicare members’ inquiries. Navigated through different, necessary software applications to retrieve and share data. Performed administrative duties for executive management. Screened calls; managed calendars; made travel, meeting and event arrangements; prepared reports and financial data; trained and supervised other support staff. Required strong computer and internet research skills. Required sensitivity to confidential matters."
5931,Production Assistant Production Assistant/Production Trainee Set Production Assistant Studio Production Intern Production Assistant Production Intern Casting Production Assistant On Air Personality,"America's Got Talent Season 9 Judgement Week. Liaison between NBC PR and America's Got Talent. Worked on set with Production Coordinators, Reality Producers, Contestant Manager and NBC Universal Publicity team.

Currently, working on the Season 9 Live Shows at Radio City Music Hall as a Contestant Production Assistant. I am formally a CAA intern and New York Production Assistant. I currently work as a Production Trainee.

•     Assistant to all aspects of 2013 & 2013 Christmas Auditions
•     Assistant to all aspects of “Heart and Lights” casting
•     Managed Orchestra Auditions
•     Works as point person for load in and load out
•     Works as liaison between AVGA union and cast
•     Maintains CAA Office in NYC during pre-pro in Myrtle Beach
•     Clerical duties; phones calls, emails, supplies, UPS, etc. Safety Production Assistant. Assistant to camera crew, audio crew and producer.Insured safety of camera crew. • Worked closely with Associate Producers and P.A’s on show days
• Talent and Guest Assist
• Out of office duties Logging for executive producers. •     Transcription of interviews with Regis Philbin
•     Assist producers in locating and obtaining footage
•     Assist in guest arrivals
•     Worked one-on-one with producer to assist in Live’s Ultimate Fan Contest
•     Clerical Duties: phones, ticket requests, office supplies, mail, etc..
•     Other duties and projects as assigned
•     Assembled news and pop culture stories for host chat •     Prepped families for pre-interviews
•     Worked closely with Executive Producer, Casting Productions and Assistants •     Live On Air shift while monitoring 6 other CMG station
•     Board Operator for Nationally Syndicated Radio Show"
5944,Environmental/Process Engineer Environmental/Process Engineer Field Engineer,"Phase I Environmental Site Assessments
Pilot Tests
Remediation system design and installation
Remediation system assessment and upgrades Environmental site assessments and remediation.
Design, construct, operate, and repair environmental remediation systems Monitored the construction, designed upgrades and operated  a Grade IV Groundwater Treatment System at a decommissioned petroleum tank farm."
5963,cable mtc superviser,had a crew of 21 techs that built and repaired and maintianed telephone cables
5969,order filler,forklift driver stand up sit down cherry picker pulled on voice scaner
5970,Bookseller,QCC's Bookstore
5978,Counselor Direct Care Aide Administrative Assistant ,"Provided assistance that promote independence in daily living
Help residents to achieve their individual habilitation goals
Accompany residents to appointments and recreational activities
Maintain cleanliness of residence
Complete and maintain required documentation and records
Ensure safety of residents at all times
 Provided care for the aged and disabled clients.
Served meals for them as assigned.
Assisted teachers with conducting educational activities.
Supervised clients during recreational activities.
Helped clients with getting dressed, bathing and provided hygienic care as needed. Greeted campers daily.
Registered children for camp.
Managed correspondence and communication with parents.
Organized office and camp information.
​"
5979,Sales Associate,"Helping customers, greeting customers and providing great customer service."
5980,International Communications Specialist Intern Associate to Head of Capital Markets Social Media and Marketing Intern,"•	Promoted, pitched, and represented Vail Resorts, its business divisions, its people, and its stories to Latin American markets and media. 
•	Assisted in implementation and coordination of communications efforts and media outreach plans for the entire company of Vail Resorts and its three main divisions: mountain, hospitality, and real estate across international markets. 
•	Monitored and tracked results including media and online metrics with progressive and business-centric measurement tools and tactics.
•	Provided international media with necessary information, photos, video, and set up film/photo shoots.
•	Hosted international media and key market-specific influencers across the mountain resorts.
•	Developed and enhanced the online newsroom content for the International and Domestic pages, to provide informative,  up-to-date content for inquiring media. 
•	Wrote and translated media materials, pitches, website copy, captions, blog posts and marketing collateral, in Spanish, to use across all of our international communications across all departments and business divisions.
•	Generated media placements in key Latin American media outlets including ESPN, Hola!, Quien, Food & Travel, Travel&Leisure, and E! News.
•	Assisted and supported International Manager in promoting Vail Resorts with international media outlets, and strategically align with the International Sales and Marketing Team in planning and executing media and consumer events in top international markets.  
•	Coordinated with US media outreach on key news for Vail Resorts, including but not limited to season pass sales, acquisitions, EpicMix application, and new strategic partnerships.
•	Strategically managed PR agencies in Vail Resorts’ top six international markets; including but not limited to contract renewal, processing invoices for payment of services and expenses, liaison for all tip sheets and corporate communications, production schedules and key messaging. •Created marketing collateral in Spanish for DestinoVail.com through articles, testimonial interviews, and onsite videos. 
•Coordinated ‘ski film days’ with Vail’s international guests, performed on-site interviews, and helped edit material produced.
•Planned and managed an event for Destino Vail for more than 100 international guests from Latin America at La Bottega in Vail. •Researched Corporate Social Responsibility & Sustainability Initiatives, and delivered a White Paper Research & Authorship. 
•Implemented social media strategies to promoting awareness for active client engagements, and sourcing new company partners.
•Supported the team by sourcing media interview candidates to fulfill ""Triple Bottom Line"" company awareness campaign during event. •Increased awareness and customer base through active engagement in online social media networks.
•Planed and managed seven events for thirty BSP members and sponsors in different locations."
5988,Environmental Specialist,"Perform highly technical atmospheric dispersion modeling, modeling audit, customer support for TCEQ Air Permits Program."
5989,assem. machinist,assemble and machine  explosion proof electrical parts
6028,Aounts Payable Manager,Account payable manager for 40 nursing homes. 
6029,Housekeeping Crew person Delivery/warehouse Toy department stocker Everything... family owned business,"I am Housekeeper at Woodland Mall I am looking for Part-time employment between the hours of 6am and 11am EVERYTHING!!! server, cook, clean, prep... Delivered bundles of newspapers 5 days a week and helped out in the warehouse whenever needed... Stocked in the toy department stocker, deli, frozen, dairy manager cashier, cleaning......"
6041,"Owner Administrator, Patient Recruitment and Outreach Program","JB Health Care Consulting focuses is on building effective communication and understanding between you and your healthcare providers including doctors, hospitals and social service agencies. Administrator, Patient Recruitment and Outreach Program 			
I was responsible for the overall recruitment of research volunteers to the Rockefeller University Hospital clinical research studies."
6043,Mortgage consultant Loan Officer Loan Officer Collections Agent,"Credit counseling, mortgage referrals Mortgage Sales Mortgage sales Commercial account collections"
6074,Security guard porter plumber helper Stock manager ,"Security guard porter plumber helper Stock manager 
"
6083,Builder,"Lifting heavy shit all day, and stackin it on a pallet"
6130,ass't to the owner floor sales medical disability inside sales/tech support/warehouse inside sales/csr,"install and removal of plumbing supplies requiring 2 men,piping,water heaters etc. floor sales to walk in customers of hand tools aand supplies.Also dealt with inbound freight,stock and price checks. medical diability per v.a.doctor. sales of machinery parts to engineers,buyers and machine operators.handled all of Canada, and the U.S with 1 other csr.also handled warehouse for roughly 1 year before being promoted to inside sales.earned 13,0000 over 4 years for my sales and service to help grow all sales accounts sales of electronics and electrical supplies to fortune 500 accts to include black and decker and r.j.reynolds.also helped in warehouse when stock pullers got behind.averaged 1.2 million dollars per year in my yearly sales at a 20% gross margins.won awards for largest new acct,largest monthly sale and highest gross margin,started at 27,000 per year and ended at 38,000 per year."
6142,Administrative Assistant,"Type, file, answer phones, schedule appts, proofread, process billable hours, backup receptionist"
6168,Cashier Desk Service Cashier,"prep food, cleaned, chasier checked in customers, cleaned rooms, laundry  prep food, cleaned, and customer service"
6192,manager ,Managed business units 
6218,Marketing Manager Geoffrey Stores Director of  Advertising/Creative Marketing Services Vice President Marketing Director Marketing Services Advertising Consultant Director Marketing Services,"Working on a cross functional team consisting of representatives from Marketing, Merchandising, Operations and Real Estate assembled to develop a single store format that would bring all the divisions of Toys”R”Us together under one roof. The goal was to test the format in current markets where we believed a single store with all categories made more sense than three separate stores.  Also to test in selected smaller markets where the expense structure of three separate stores was not cost effective.  Within the first year we had tested and selected a name, developed store formats, floor plans and a host of new services to test. Our next step was to formulate a marketing plan to open four concept stores in smaller markets. Within 12 months we had the first four stores opened in smaller markets and the favorable results allowed us to move forward with the second phase in current markets. In year two of the project we selected nine stores in one market, developed a renovation and marketing plan to open these stores in 8 months.  The results of the test proved the combination in current markets increased store visits by 10% and the average sale by approximately 12%. Managed the $120 million media, advertising, creative service, media and promotion planning for this $1.5 billion diverse portfolio of consumer products. 

•  In first year reduced design and print production expenses by 15%.  This was accomplished through a complete vendor review and initiating RFP’s for services.
• Working with the brand team we developed  a new advertising and media strategy for PAM cooking spray.  This effort was instrumental in the brand achieving a 4% increase in base line sales over the prior year.
•  Spearheaded a new agency search for Gulden’s.  Together with the brand team we launched an advertising campaign to support the repositioning of the brand.  Top line results reported a 12% increase over the same period of the prior year.
• Maximized the companies return on TV advertising spending through strong negotiations in the upfront market and initiating tracking reports to monitor media dollars actually spent vs. planned by media by brand. • Created and implemented an integrated advertising plan for opening 133 floor covering departments in just six months, in a regional Home Center chain in Florida.
• Developed a customer profile for each of the three different chains we managed.  Utilized these profiles to create targeted mailings for catalogs, direct mail promotions and a “Preferred Customer” Loyalty Program. Faced with rising costs due to increases in postage, print materials and the need to maintain our reach and frequency in our direct mail, I immediately pulled together a team to conduct a review of the entire direct mail program.  Upon completion of our review we recommended more efficient press products and reduced the overall print and postage costs of the direct mail programs by $1.6 million dollars. 
 
In an effort to revive a floundering co-branded credit card program I was asked to join a task force assigned the responsibility of reviewing the current program and developing a plan that would increase the number of members and increase usage.  Our revival plan included initiating an instant credit feature at POS, adding a private label card to compliment our co-branded card and added a program that rewarded holders for use and encouraged additional store visits. Completed a review of the advertising, promotion planning, creative development and production procedures for the Grocery Products Division of this $26.5 billion dollar consumer packaged goods conglomerate.  As a result the company adopted my recommendations and saved $2.5 million dollars. As Toys”R”Us and Babies”R”Us were merging into one team I was tasked with bringing together two separate Project Management groups. My first goal was to unify and organize the team with the objective of developing one process for producing all multi-channel advertising materials to support print, digital and social media. I set up meetings with each of team members identified their strengths and reorganized the team into three groups to serve the key media categories. 

Challenged with rising production costs and the need to reduce creative process timelines I recognized the need to revamp the aged and outdated advertising production process.  My first action was to conduct a search to find a new resource for our ad event production system. I assembled a task force, we developed a proposal format, identified potential companies, set up interviews and reviewed each of the organization’s capabilities. At the completion of our review we entered into an agreement with a new resource and launched the new ad event tool according to plan. The new system saved $900 thousand dollars over the first two years and reduced the production timelines by two weeks."
6220,Um... I don't really know.,CHina is a good places
6230,Teaching Assistant Computer Lab Assistant Sales Associate,"•	Assisted students with programming problems and prove one to one help during class time
•	Provided immediate comments and feedbacks on students’ programs 
•	Provided extra help for students during office hours and via email after class •	Provided equipment maintenance to ensure lab ran efficiently 
•	Enforced policies and procedures in lab 
•	Utilized interpersonal skills and patience to assist students with technical questions and difficulties •	Conducted cash and credit transactions with 100% accuracy
•	Organized sales floor and provided assistance to customers in locating merchandise"
6242,courier,bank courier
6247,Quality Assurance Analyst,"Provides coaching and encourages continual improvement and departmental efficiency. Holds staff
accountable and responsible for their performance. Participates in the hiring and trains staff on the
proper methodology as it pertains to their workload assignments. Completes performance reviews
timely and process Personnel Action Notification timely. Meets weekly with direct reports to discuss department issues. Initiates disciplinary & corrective action when necessary for staff. Provides and develops incentives to inspire, motivate staff. Establishes policy and procedures as they apply to department and continually monitors for staff compliance. Oversees data base system. Communicates and works with IS Manager and documentation supervisor to resolve issues that may impede the progress of daily billing."
6249,customer service representative ,Assisting customers with extending contracts by offering different products and services that fits the needs of the customer. Provide first call resolution for customers with non-technical issues ranging from returns and billing.  
6259,Machine Operator/   Inserter    (newspaper) Machine Operator/ Inserter Packer/Puller,"I put ads into a machine by hand and by machine. I ran 1 to 3 machines at a time, fixed the bad paper bundles and re-strapped them, cleaned up and other things I was told to do. I sometimes used a pallet jack to move pallets, and I very rarely used a ""big Joe"" motorized pallet jack to move pallets. It was a part-time job that lasted 8 years. see Background I worked in the  distribution department for almost 11 years. I used a cart to walk to get what the customers ordered and put the product on the 3 shelves of the cart. The products were from my ankles to a  little over my hands reach over my head. I packed, checked and put back-to-stock extras that the puller pulled. When the order was done, I numbered the boxes, labeled them, then put them on the rolling belt. I cleaned up my table, broke down boxes for re-use and other things. When some product was out, I asked the forklift to re stock what was out."
6315,Certified Moving Consultant Relocation Consultant,"Relocation Consultant for major van line. Person to person in-home presentation of services and provide proposal for household goods relocation. 75 miles radius of territory. Maintained perfect driving record and passed random drug screens. 23 years experience at position. Household goods moving consultant/sales.  Meet with prospect at their residence, conduct survey of HHG to be moved, provide proposal, with follow to point of sale and beyond. Much driving and heavy sales. Excellent knowledge of LA/OC/Inland Empire areas. Perfect driving record. "
6316,Sergeant,"automations tech
admin clerk"
6320,Legal Collections Representative A/R Collections Specialist Debt Collector,"Worked closely with collection attorney Independently handled overdue American Express legal accounts
Contacted Consumers and Attorneys to negotiate payment arrangements and settlements
Placed daily conference calls with American Recovery Services Inc. to update on payment portfolio. Filed liens to encumber property until receivables were collected
Effectuated property sales and income executions through marshals and sheriffs to satisfy judgments against debtors. Worked NYSIF Workers compensation claims and personal consumer loans . Maximized revenues by proactively collecting funds on delinquent leases Handled inbound and outbound delinquent accounts
Resolved customer billing disputes and escalate to supervisor as needed
Aided in side by side training of new employees
Requested correspondence which documented repayment plans and special payment arrangements"
6321,Real Estate Agent Real Estate Agent,Agent proficient in rentals and sales Coldwell Banker AC Lawrence Rentals
6322,Fire guard Security Officer,"Monitor CCTV, Log daily reports of building patrol, Monitor people entering and exiting the building, inspect standpipe hose and Siamese connection. Conduct daily patrols of store, check employees in and out of store, monitor CCTV, prevent and deter shop lifters, make daily logs of patrol."
6324,Operations Clerk Operations Clerk Operations Clerk,Inputting data into the computer.Creating backup files and scanning documents Inputting data into the computer Inputting data into the computer.Reconciling accounts
6326,"Account Executive, IT Consulting Services Sales Executive","Robert Half Technology is a leading provider of IT professionals on a project and full-time basis. We offer our clients flexible, cost-effective staffing solutions that allow them to maximize the power of technology for the ongoing success of their business. •	Developed relationships and closed sales with 100+ accounts totaling $2.5 million in revenue sales during my tenure at the company.
•	Created from the ground up opportunities within Latin America academic market which resulted in increased sales from $1,000 to  $60,000 annual sales
•	Secured and Maintained relationships with Human Resource Directors, V.P’s of Research and Development, and Marketing Directors within the top universities and research organizations."
6329,Building Maintenance Sales Associate,"•	Greeted and tended to all guests upon entering and exiting the premises. 
•	Handed all incoming calls for residents and relayed messages from vendors to management. 
•	Assisted with logging and maintaining a record of incoming and outgoing parcels. 
•	Trained new associates on an as-needed basis and report progress to the management team. 
•	Maintained a high level of observation and judgment of all persons entering the premises.
•	Provided administrative support as needed and completed related tasks required to maintain an upscale, clean, and professional environment. 
 •	Provided demonstrations to hundreds of customers daily during the initial launch of 1st generation iPhone. 
•	Served as a member of the customer service team and trained team members to demonstrate 1st generation iPhone
•	Answered telephone inquiries and directed calls to the appropriate locations.
•	Provided handset demonstrations for customers over the phone.
•	Organized, administered, and entered customer details into the AT&T internal database. 
"
6330,Quality Control Manager President Co-Founder Mental Health worker - Certified Substance Abuse Counselor State of Michigan 1989,"Management of work flow systems, encompassing all aspects of customer service, client retention, and debt settlement policies and procedures.  Primary responsibilities include oversight and management of client escrow funds used for purposes of debt arbitration and settlement.  Oversight of customer service, underwriting and negotiation work flow. Sold the Accufuser post op pain control pump to orthopedic, cardio/thoracic, urologists, plastics and general surgeons. Brought sales from 0-10K per month within 6 months.
Procured exclusive contract with New York Presbyterian Hospitals - Columbia and Cornell
Spent over 100 hours spent in the OR instructing surgeons on catheter placement for optimal post op pain control. Strong Familiarity with OR protocol, sterile field guidelines, and all of the necessary protocols including HIPAA training, Bloodborne Pathogens training, and Aseptic Techniques.  Through in-servicing of nursing staff. Co-founded the only 501c3, independent, NYS Licensed, Bonded and COA Accredited public non-profit Consumer Credit Counseling agency in America. Co-Developed licensing process with NYS Banking Dept to allow for transfer of consumer funds to creditors. IT Project management coordinating access based software, and Excel to allow for electronic funds transfers (EFT) and automatic debiting procedures (ACH) to allow for the timely debiting and payment of accounts. Supervision of quality control, service delivery and CRM. Chair of Quality Assurance Committee No registered complaints with the BBB, NYS Banking Dept. Responsible for all quality control measurement tools to improve client satisfaction and retention. Public relations and media interviews with CNN, CBS Evening News, New York Public Access Television and the New York Daily News - topics: subprime lending & personal debt reduction techniques. Press Contacts – NY Times and Wall St. Journal. Certified consumer credit counselor - NIFE. MOST NOTABLE ACHIEVEMENTS: ORGANIZED, DEVELOPED AND SUPERVISED ACCREDITATION THROUGH THE COUNCIL ON ACCREDITATION MAKING Credit Advocates the first independent, organization with 2 full time employees to become fully accredited through COA. 2. Returned millions of dollars to creditors that would have been written off as bad debt 3. provided free credit and budget counseling throughout lower Manhattan and 4. Maintained Quality Control so well that there was not a single complaint lodged against the agency. Mental Health worker at adult substance abuse center, adolescent and adult psychiatric unit.  This position was primarily part time while attenting college.  Gained significant knowledge into psychological disorders, medications and treatment modalities, support groups - 12 step, and one on one counseling with adults attending inpatient rehabilitation for substance abuse.  Responsibilities included charting patient behavior - liason between the hospital pharmacy and the nursing staff - adminstration of medication and urine samples - and working the suicide and relapse prevention hotline.  Obtained certificationas a certified substance abuse counselor in the state of Michigan.  Although the testing criteria has changed significantly, I gained considerable knowledge in substance abuse treatment, psychopharmacology, and the neuroscience of addiction disorders as well as bi-polar, psychotic, depression and anxiety."
6331,Licensed Real Estate Salesperson,"Susanna Aaron was born and raised in Greenwich Village and comes to Halstead with over 10 years of progressive sales and marketing experience. Being a born and bred New Yorker gives Susanna a unique perspective on the Manhattan real estate market and all it has to offer.
Susanna's background has always been centered on customer service and building strong long lasting client relationships. Susanna prides herself on her commitment to listening to her clients needs and customizing and executing individualized plans to make her clients search for their new home as seamless and enjoyable as possible. She is approachable, personable, has excellent negotiation skills and excels in the art of listening and matching clients with their dream homes and helping them feel confident with their decisions. 
After earning her BFA from the University of Miami she started a career in the Sales and Hospitality industry where her client relations skills were cultivated and refined. Additionally she has been active in the commercial real estate which has given her expansive knowledge of the Manhattan real estate market as a whole."
6332,Personal assistant  Customer service rep,"Typing up work schedules, itineraries, proposals and other documents. Calling companies worldwide to establish business relationships. Answering phone, filing, cleaning, and organizing Conducting live infomercials to an audience of 15+. Attract potential customers. Product knowledge. Training."
6348,Teacher,Educated students and prepared them to go out into the real world to be effective men and women of society.
6352,Business Development Manager Management Consultant,"•	Collaborated with senior management and division heads to plan and manage various business and technology initiatives. Activities included budgeting & cost allocation, risk assessments, resource allocation, etc.
•	Conducted market research and spearheaded the expansion of the business in the Australian and USA market. Established multiple new client accounts with total revenue of about $2M in the first year
•	Served as the face of the company at various trade shows and client meetings, executing all events, promoting new products and building client relations. Improved new client acquisition by 10%
•	Developed new online marketing campaign and overhauled the IT capabilities of the company including redesign of the website, CRM capabilities and reporting tools. Online sales account for 15% of the business now
•	Created financial and sales models to help forecast sales and determine profitability
•	Collected and analyzed data to identify potential markets, factors affecting product demand and sales trends
•	Formulated, directed and coordinated marketing activities and policies to promote products and services, working with advertising and promotion managers
•	Managed a team of 10 members concerned with the pricing, sales and distribution of products Key Contributions:
•	Conducted market entry analysis for a leading engineering services client, resulting in entry into international markets and 5% increase in total revenue 
•	Developed customer acquisition strategies for one of the biggest ecommerce companies. Assisted management in identifying issues, sorting solutions and implementing them. Also, evaluated vendors for a new Content Management System (CMS). Reduced customer churn by 9% and increased customer acquisition by 11%
•	Led the team of analysts supporting the merger for a major Pharmacy Benefits Management (PBM) company. Supported various projects including assets consolidation, Workforce restructuring plan and vendor assessment
•	Created IT cost reduction assessment, roadmap and business case for one of the largest retailer in the world, resulting in an estimated annual savings of $100M
•	Reduced inventory levels by over 13% for a nutritional supplement manufacturer by developing, designing, and implementing a multi-stage pull system; trained and supported in-house resources throughout the implementation
•	Assessed and evaluated business strategies of clients, including analysis of process workflows, financial inefficiencies, new business opportunities and others."
6353,Sales/stock Sales expert  Sales Expert,"•Stock room organization 	
•Replenishment od the floor 
•Keeping the floor clean
•Doing shipment •Building clientele and assessing all the costumers needs
•Always encouraging costumers to open credit with us 
•Working with costumers to boots self esteem 
•Always making sure everything is neat and presentable  
•Offering all costumer first experience  
 •Work cash register and check on sale numbers at the end of the day 
•Assisting customers in choosing products that suit their needs
•Suggesting additional items to a costumers purchase in order to boost company sale
•Train new associates on store policies, standards and expectations"
6355,Home Health Aide Server Certified Nurses Aide Cashier/Customer Service Server Cashier/Bakery Sales/Hostess,"I assisted my resident in the daily activities of life. I was also responsible for laundry, house cleaning, and taking messages for his son and daughter in-law. I greeted guests, delivered food to the proper table and took orders an put them correctly into the computer. I assisted residents with the daily life activities of life but not limited to: bathing, dressing and eating. I cashed customers out, answered the phone and solved customer issues. I greeted guests, took orders, and delivered food to the proper table in a timely fashion. I greeted customers, cashed out customers and got customers orders together and ready to go."
6357,Concession supervisor  Administrative assistant ,I help supervised the other cashiers and workers and I did inventory  I helped the nurses with typing and filing and help the patients/customers with any problems they had.  
